number,timestamp,txCount,label,interval
0,2025-06-30 12:00:00,2,0,0.0
1,2025-06-30 12:00:30,3,0,30.0
2,2025-06-30 12:01:00,3,0,30.0
3,2025-06-30 12:01:30,2,0,30.0
4,2025-06-30 12:02:00,1,0,30.0
5,2025-06-30 12:02:30,2,0,30.0
6,2025-06-30 12:03:00,3,0,30.0
7,2025-06-30 12:03:30,3,0,30.0
8,2025-06-30 12:04:00,2,0,30.0
9,2025-06-30 12:04:30,3,0,30.0
10,2025-06-30 12:05:00,2,0,30.0
11,2025-06-30 12:05:30,1,0,30.0
12,2025-06-30 12:06:00,1,0,30.0
13,2025-06-30 12:06:30,3,0,30.0
14,2025-06-30 12:07:00,4,0,30.0
15,2025-06-30 12:07:30,3,0,30.0
16,2025-06-30 12:08:00,1,0,30.0
17,2025-06-30 12:08:30,4,0,30.0
18,2025-06-30 12:09:00,1,0,30.0
19,2025-06-30 12:09:30,2,0,30.0
20,2025-06-30 12:10:00,4,0,30.0
21,2025-06-30 12:10:30,1,0,30.0
22,2025-06-30 12:11:00,2,0,30.0
23,2025-06-30 12:11:30,2,0,30.0
24,2025-06-30 12:12:00,4,0,30.0
25,2025-06-30 12:12:30,1,0,30.0
26,2025-06-30 12:13:00,2,0,30.0
27,2025-06-30 12:13:30,1,0,30.0
28,2025-06-30 12:14:00,2,0,30.0
29,2025-06-30 12:14:30,4,0,30.0
30,2025-06-30 12:15:00,3,0,30.0
31,2025-06-30 12:15:30,1,0,30.0
32,2025-06-30 12:16:00,3,0,30.0
33,2025-06-30 12:16:30,1,0,30.0
34,2025-06-30 12:17:00,4,0,30.0
35,2025-06-30 12:17:30,3,0,30.0
36,2025-06-30 12:18:00,1,0,30.0
37,2025-06-30 12:18:30,4,0,30.0
38,2025-06-30 12:19:00,1,0,30.0
39,2025-06-30 12:19:30,1,0,30.0
40,2025-06-30 12:20:00,1,0,30.0
41,2025-06-30 12:20:30,2,0,30.0
42,2025-06-30 12:21:00,1,0,30.0
43,2025-06-30 12:21:30,4,0,30.0
44,2025-06-30 12:22:00,3,0,30.0
45,2025-06-30 12:22:30,2,0,30.0
46,2025-06-30 12:23:00,4,0,30.0
47,2025-06-30 12:23:30,4,0,30.0
48,2025-06-30 12:24:00,3,0,30.0
49,2025-06-30 12:24:30,2,0,30.0
50,2025-06-30 12:25:00,2,0,30.0
51,2025-06-30 12:25:30,3,0,30.0
52,2025-06-30 12:26:00,3,0,30.0
53,2025-06-30 12:26:30,2,0,30.0
54,2025-06-30 12:27:00,2,0,30.0
55,2025-06-30 12:27:30,3,0,30.0
56,2025-06-30 12:28:00,2,0,30.0
57,2025-06-30 12:28:30,3,0,30.0
58,2025-06-30 12:29:00,2,0,30.0
59,2025-06-30 12:29:30,3,0,30.0
60,2025-06-30 12:30:00,4,0,30.0
61,2025-06-30 12:30:30,2,0,30.0
62,2025-06-30 12:31:00,3,0,30.0
63,2025-06-30 12:31:30,1,0,30.0
64,2025-06-30 12:32:00,2,0,30.0
65,2025-06-30 12:32:30,3,0,30.0
66,2025-06-30 12:33:00,1,0,30.0
67,2025-06-30 12:33:30,4,0,30.0
68,2025-06-30 12:34:00,1,0,30.0
69,2025-06-30 12:34:30,3,0,30.0
70,2025-06-30 12:35:00,1,0,30.0
71,2025-06-30 12:35:30,4,0,30.0
72,2025-06-30 12:36:00,1,0,30.0
73,2025-06-30 12:36:30,1,0,30.0
74,2025-06-30 12:37:00,2,0,30.0
75,2025-06-30 12:37:30,1,0,30.0
76,2025-06-30 12:38:00,4,0,30.0
77,2025-06-30 12:38:30,1,0,30.0
78,2025-06-30 12:39:00,4,0,30.0
79,2025-06-30 12:39:30,3,0,30.0
80,2025-06-30 12:40:00,2,0,30.0
81,2025-06-30 12:40:30,4,0,30.0
82,2025-06-30 12:41:00,2,0,30.0
83,2025-06-30 12:41:30,3,0,30.0
84,2025-06-30 12:42:00,3,0,30.0
85,2025-06-30 12:42:30,3,0,30.0
86,2025-06-30 12:43:00,1,0,30.0
87,2025-06-30 12:43:30,4,0,30.0
88,2025-06-30 12:44:00,1,0,30.0
89,2025-06-30 12:44:30,3,0,30.0
90,2025-06-30 12:45:00,3,0,30.0
91,2025-06-30 12:45:30,3,0,30.0
92,2025-06-30 12:46:00,2,0,30.0
93,2025-06-30 12:46:30,3,0,30.0
94,2025-06-30 12:47:00,2,0,30.0
95,2025-06-30 12:47:30,2,0,30.0
96,2025-06-30 12:48:00,3,0,30.0
97,2025-06-30 12:48:30,1,0,30.0
98,2025-06-30 12:49:00,4,0,30.0
99,2025-06-30 12:49:30,2,0,30.0
100,2025-06-30 12:50:00,24,1,30.0
101,2025-06-30 12:50:30,16,1,30.0
102,2025-06-30 12:51:00,18,1,30.0
103,2025-06-30 12:51:30,18,1,30.0
104,2025-06-30 12:52:00,11,1,30.0
105,2025-06-30 12:52:30,16,1,30.0
106,2025-06-30 12:53:00,11,1,30.0
107,2025-06-30 12:53:30,21,1,30.0
108,2025-06-30 12:54:00,22,1,30.0
109,2025-06-30 12:54:30,18,1,30.0
110,2025-06-30 12:55:00,19,1,30.0
111,2025-06-30 12:55:30,17,1,30.0
112,2025-06-30 12:56:00,19,1,30.0
113,2025-06-30 12:56:30,15,1,30.0
114,2025-06-30 12:57:00,14,1,30.0
115,2025-06-30 12:57:30,14,1,30.0
116,2025-06-30 12:58:00,16,1,30.0
117,2025-06-30 12:58:30,24,1,30.0
118,2025-06-30 12:59:00,10,1,30.0
119,2025-06-30 12:59:30,14,1,30.0
120,2025-06-30 13:00:00,11,1,30.0
